rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,traffic_delay,speed_limit,lanes_affected
Road construction,3 lanes closed altona bound,Pending,2018-07-11T10:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,3
Road construction,2 lanes closed eastbound,Pending,2018-07-03T10:00:00,2018-08-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,2
Road maintenance,3 lanes closed both directions,Pending,2018-08-08T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,MALVERN ROAD ,Greater than 10 min,40,3
Road maintenance,1 lane closed inbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2017-12-21T20:00:00,2018-08-29T07:30:00,"Two lanes closed in each direction on Strathfieldsaye Rd between Club Crt and Uxbridge St, for intersection upgrade works. Please plan ahead to avoid the area. Delays of around 5 minutes are expected.",STRATHFIELDSAYE ROAD ,0 to 5 min,40,2
Utility works,3 lanes closed northbound,Pending,2018-05-01T11:00:00,2019-04-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,3
Utility works,3 lanes closed southbound,Pending,2018-05-01T11:00:00,2019-04-29T18:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,3
Road construction, road closed,Pending,2018-06-28T11:00:00,2019-06-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CARINISH ROAD ,0 to 5 min,40,0
Utility works,2 lanes closed northbound,Pending,2018-05-08T11:00:00,2019-04-29T19:00:00,other daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,2
Utility works,1 lane closed eastbound,Pending,2018-07-03T11:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,AIRPORT-WESTERN RING OUT RAMP ON,Greater than 10 min,40,1
Road construction,1 lane closed northbound,Pending,2018-08-01T14:00:00,2018-09-01T14:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 80 km/h. Traffic delay 0 to 5 min. ,FRANKSTON FREEWAY ,0 to 5 min,80,1
Road construction, expect delays,Pending,2018-06-21T14:00:00,2018-10-30T13:00:00,North Yarra Main Sewer works at Whitehall St/Youell St for West Gate Tunnel Project from late June 2018 to June 2019.,WHITEHALL STREET ,0 to 5 min,40,2
Road construction, expect delays,Pending,2018-07-30T20:30:00,2018-10-31T06:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BELGRAVE-HALLAM ROAD ,0 to 5 min,40,1
Utility works,2 lanes closed both directions,Pending,2018-08-14T22:00:00,2018-09-15T06:00:00,other daily works from 08:00 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,FOOTE STREET ,Greater than 10 min,40,2
Road construction, entry/exit ramp closed,Active,2018-07-09T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MICKLEHAM-TULLAMARINE IN RAMP ON,0 to 5 min,40,0
Road construction, road closed,Pending,2018-08-08T14:00:00,2018-09-29T14:00:00,Full Closure Buckley Street between Cliff street and Mount Alexander Rd  Friday 9 August from 07.00pm to Sunday 30 September 06.00am. Roadworks speed limit 40 km/h. Traffic delay 10 to 15 min. ,BUCKLEY STREET ,6 to 10 min,40,0
Utility works,1 lane closed outbound,Pending,2018-08-01T10:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed northbound,Pending,2018-08-09T21:00:00,2018-09-14T21:00:00,Sewer upgrade work from 10th August to 15th September. 24/7 Traffic Management. One North bound lane closed. Traffic delay 0 to 5 minutes.,DENMARK STREET ,0 to 5 min,0,1
Road construction,1 lane closed both directions,Active,2018-04-03T20:00:00,2018-08-28T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PAYNESVILLE ROAD ,6 to 10 min,40,1
Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PLENTY ROAD ,0 to 5 min,40,0
Road construction,1 lane closed outbound,Pending,2018-08-19T20:00:00,2018-09-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Active,2018-02-11T13:00:00,2019-02-28T12:59:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,SHELLEY ROAD ,Greater than 10 min,40,0
Road construction, lanes closed both directions,Pending,2018-06-01T10:00:00,2018-08-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,0
Road maintenance,1 lane closed westbound,Pending,2017-12-31T13:00:00,2018-08-25T14:00:00,Westbound (Melton-bound) on the Melton Hwy is reduced to 1 lane for Level Crossing Removal works between McCubbin Dr and Overton Lea Blvduntil the 26 August 2018.,MELTON HIGHWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CENTENARY DRIVE ,0 to 5 min,40,0
Road maintenance,1 lane closed eastbound,Pending,2018-08-20T11:00:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Sporting/social event, road closed,Pending,2017-12-07T18:30:00,2018-12-30T13:00:00,Brunton Avenue closed 2.0 hours before the start  and 1 hour after MCG events (during MCG events only NOT all the time). Check MCG website for dates and times. Expect delay. Use alternative routes. ,BRUNTON AVENUE ,6 to 10 min,40,0
Road construction, road closed,Pending,2018-07-03T14:00:00,2019-06-30T02:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HAUGHTON ROAD ,0 to 5 min,40,0
Road maintenance, lanes closed both directions,Pending,2018-01-18T19:00:00,2018-12-31T09:30:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 08:30 PM. Roadworks speed limit 40 km/h. Traffic delay nil. ,SUNBURY ROAD ,Nil,40,0
Road construction,2 lanes closed altona bound,Pending,2016-10-31T11:30:00,2018-09-11T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,WESTERN RING ROAD ,6 to 10 min,40,2
Road construction, ,Pending,2018-06-28T23:30:00,2019-06-30T05:30:00,One lane closed in each direction for preliminary level crossing removal works. Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MURRUMBEENA ROAD ,0 to 5 min,40,2
Sporting/social event, road closed,Pending,2017-12-07T19:00:00,2020-12-30T14:00:00,Brunton Avenue closed  2.0 hours before and 1 hour after MCG event (during MCG events only NOT all the time). Check MCG website for event dates and times.  Expect delay.  Use alternative routes. ,BRUNTON AVENUE ,6 to 10 min,0,0
Road construction, ,Pending,2018-06-28T23:30:00,2019-06-30T05:30:00,One lane closed in each direction for preliminary level crossing removal works. Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,KOORNANG ROAD ,0 to 5 min,40,2
Road construction, ,Pending,2018-06-28T23:30:00,2019-06-30T05:30:00,One lane closed in each direction for preliminary level crossing removal works. Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,POATH ROAD ,0 to 5 min,40,2
Road construction, entry/exit ramp closed,Pending,2018-08-08T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE OUT-ENGLISH RAMP OF,0 to 5 min,60,0
Utility works,3 lanes closed southbound,Pending,2017-05-01T11:00:00,2019-04-29T19:00:00,other daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,3
Road construction, entry/exit ramp closed,Active,2018-07-07T10:30:00,2018-08-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CITYLINK OUT-BULLA RAMP OF,0 to 5 min,40,1
Road construction,1 lane closed both directions,Pending,2017-03-31T09:30:00,2018-08-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,1
Road construction,2 lanes closed outbound,Pending,2018-06-01T10:00:00,2018-08-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road construction,2 lanes closed inbound,Pending,2018-06-01T10:00:00,2018-08-30T18:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,2
Road maintenance,1 lane closed southbound,Pending,2018-05-27T20:00:00,2018-09-21T08:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,60,1
Road construction, road closed,Pending,2018-08-22T11:30:00,2018-08-23T20:00:00,other daily works from 09:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,PASCOE VALE ROAD ,Greater than 10 min,40,0
Road construction,2 lanes closed inbound,Pending,2018-06-01T10:00:00,2018-08-30T18:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,2
Road construction,1 lane closed eastbound,Pending,2018-08-23T10:00:00,2018-10-25T18:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WILLIAMSTOWN-WEST GATE IN RAMP ON,0 to 5 min,40,1
Road construction,1 lane closed both directions,Pending,2018-03-07T09:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed eastbound,Pending,2018-06-29T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SUNBURY ROAD ,0 to 5 min,40,1
Road construction,1 lane closed outbound,Pending,2018-06-20T10:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction,2 lanes closed both directions,Pending,2018-02-20T13:00:00,2018-08-29T14:00:00,Buckley St is reduced to one lane each direction for Level Crossing Removal works from Mt Alexander Rd to Violet St until August 2018.,BUCKLEY STREET ,6 to 10 min,40,2
Road construction,1 lane closed both directions,Pending,2018-01-31T09:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed both directions,Active,2018-08-12T21:00:00,2018-11-02T08:00:00,Monday to Saturday daily works from 07:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PRINCES HIGHWAY ,6 to 10 min,40,1
Road maintenance, road closed,Pending,2018-07-20T12:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,ST KILDA ROAD ,0 to 5 min,40,0
Road maintenance,1 lane closed outbound,Pending,2018-02-25T22:00:00,2019-02-26T03:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 02:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2018-02-01T19:00:00,2018-08-31T08:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER HIGHWAY ,0 to 5 min,40,1
Utility works, entry/exit ramp closed,Pending,2018-07-24T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,FULLARTON-CALDER IN RAMP ON,6 to 10 min,40,0
Road maintenance,3 lanes closed both directions,Pending,2018-08-08T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,BLACKBURN ROAD ,Greater than 10 min,40,3
Road maintenance,1 lane closed both directions,Active,2018-08-08T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,CANTERBURY ROAD ,Greater than 10 min,40,1
Road construction, entry/exit ramp closed,Pending,2018-08-03T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,WESTERN RING OUT-TULLAMARINE OUT RAMP ,6 to 10 min,40,0
Road maintenance,1 lane closed inbound,Pending,2018-02-25T23:00:00,2019-02-26T05:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Road construction, entry/exit ramp closed,Active,2018-06-25T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,MELROSE-TULLAMARINE IN RAMP ON,0 to 5 min,60,0
Utility works,1 lane closed westbound,Pending,2018-07-05T12:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,1
Utility works,2 lanes closed eastbound,Pending,2018-07-05T12:30:00,2018-09-29T18:00:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,2
Road construction, lanes closed eastbound,Pending,2018-07-22T12:00:00,2018-10-30T17:00:00,other daily works from 10:00 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Active,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,2
Road construction, entry/exit ramp closed,Pending,2018-08-10T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,MICKLEHAM-TULLAMARINE OUT RAMP ON,Greater than 10 min,40,0
Road construction, entry/exit ramp closed,Pending,2018-07-23T10:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE OUT-MELROSE RAMP OF,0 to 5 min,60,0
Utility works,1 lane closed eastbound,Pending,2018-07-15T21:00:00,2018-09-30T05:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,SHARPS ROAD ,Greater than 10 min,40,1
Road construction, road closed,Active,2018-07-09T14:00:00,2018-12-30T13:00:00,Street scape works on behalf of City of Melbourne. Southbank Boulevard closed 24/7 from St Kilda Road to Sturt St. Traffic delay might be up to 6 to 10 min. ,SOUTHBANK BOULEVARD ALT,6 to 10 min,40,0
Utility works,2 lanes closed both directions,Pending,2018-03-04T20:00:00,2019-01-12T05:00:00,Melbourne Water works along Beach Road starting 05/03/2018 between 7:00am to 4:00pm Monday to Friday. Major Delays expected. Seek Alternative route.,BEACH ROAD ,6 to 10 min,40,2
Road construction, road closed,Pending,2018-07-01T12:00:00,2018-09-02T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES IN-WESTERN RING OUT RAMP ,0 to 5 min,0,3
Road construction, road closed,Pending,2018-07-01T11:00:00,2018-09-02T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:00 AM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,WESTERN RING IN-PRINCES OUT RAMP ,0 to 5 min,0,0
Road construction,2 lanes closed both directions,Pending,2018-02-13T13:00:00,2021-08-14T14:00:00,"Road reduced to one lane in each directions until August 2021. The closure is in place for the Metro Rail Tunnel works and is between Dorcas St and Toorak Rd. Motorists should allow up to 15 minutes extra travel time.Alternative routes include Kings Way, Queens Road, Ferrars Street and Beaconsfield Parade.",ST KILDA ROAD ,6 to 10 min,40,2
Road construction, lanes closed eastbound,Pending,2018-07-22T11:00:00,2018-10-30T17:00:00,other daily works from 09:00 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,0
Road construction,all lanes closed westbound,Pending,2018-07-28T12:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HULL ROAD ,0 to 5 min,40,0
Road maintenance, road closed,Pending,2018-08-09T21:00:00,2018-09-29T21:00:00,"Road closed near Bangambalanga Av, Chum Creek, for two days. VMS messages will advise of closure dates. Heavy vehicles use other approved routes. Road will then be re-opened, with shuttle flow. Speed limit 40 km/h. Possible delay 30 minutes.",HEALESVILLE-KINGLAKE ROAD ,Nil,40,0
Road construction, road closed,Active,2018-08-05T14:00:00,2018-08-31T13:59:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit nil. Traffic delay nil. ,VICTORIA PLACE ,Nil,0,0
Road maintenance,1 lane closed both directions,Pending,2018-08-16T23:30:00,2018-09-07T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,FRANKSTON FREEWAY ,0 to 5 min,40,1
Road maintenance,4 lanes closed both directions,Active,2018-08-20T09:30:00,2018-08-24T19:30:00,other daily works from 07:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,4
Road maintenance,1 lane closed eastbound,Pending,2018-02-13T11:00:00,2018-09-12T18:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 PM to 04:00 AM. Roadworks speed limit nil. Traffic delay nil. ,MONASH FREEWAY ,Nil,0,1
Road construction, road closed,Active,2018-08-05T14:00:00,2019-01-05T13:00:00,"North Yarra Main Sewer relocation. Whitehall St northbound full closure from Leek St to Somerville Rd, detour via Leek St, Hyde St and Somerville Rd.",WHITEHALL STREET ,0 to 5 min,40,2
Road maintenance,all lanes closed southbound,Pending,2018-07-17T10:30:00,2018-09-03T19:30:00,other daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CRANBOURNE-NARRE WARREN ROAD ,0 to 5 min,40,0
Utility works,1 lane closed both directions,Pending,2018-05-28T10:15:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed both directions,Pending,2018-07-01T23:00:00,2018-11-19T06:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road construction,3 lanes closed greensborough bound,Pending,2018-07-11T09:30:00,2018-08-30T20:00:00,Full week including weekends - Sunday to Saturday daily works from 07:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,3
Road maintenance,1 lane closed northbound,Pending,2018-04-06T21:00:00,2018-08-31T07:00:00,other daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,MCINTYRE ROAD ,Greater than 10 min,40,1
Road maintenance,1 lane closed both directions,Pending,2017-12-31T20:00:00,2018-10-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2018-08-09T01:00:00,2018-08-30T04:00:00,Weekdays only - Monday to Friday daily works from 11:00 AM to 02:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,60,1
Road maintenance,1 lane closed outbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-07-28T09:30:00,2019-07-29T23:00:00,Burnley Tunnel Full closure 10:00PM Saturday night 28th July to 8:00AM Sunday morning 29th July.,BURNLEY TUNNEL ,0 to 5 min,40,0
Road construction, entry/exit ramp closed,Pending,2018-08-22T10:30:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,FURLONG-WESTERN RING OUT RAMP ON,Greater than 10 min,40,0
Road construction, entry/exit ramp closed,Pending,2018-08-22T10:30:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING OUT-SUNSHINE RAMP OF,Greater than 10 min,40,0
Road construction,1 lane closed greensborough bound,Pending,2018-08-22T10:30:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday  from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,1
Road construction,1 lane closed northbound,Pending,2018-08-05T21:00:00,2018-08-31T07:00:00,"We�re adding an extra lane to Warrandyte Bridge to ease traffic flow and make it safer for the community.At times, lanes will be closed and speeds will be reduced as we carry out these important works. Plan for delays on Yarra St and Kangaroo Ground - Warrandyte Rd until the end of September 2018.",KANGAROO GROUND-WARRANDYTE ROAD ,0 to 5 min,40,1
Road maintenance, expect delays,Pending,2018-05-06T20:00:00,2018-09-28T08:00:00,Weekdays only - Monday to Friday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,GLENGARRY WEST ROAD ,6 to 10 min,40,0
Road construction,4 lanes closed outbound,Pending,2018-08-16T10:00:00,2018-08-25T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,4
Road construction,3 lanes closed outbound,Active,2018-07-05T09:30:00,2018-10-30T18:30:00,Full week including weekends - Sunday to Saturday daily works from 07:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,3
Road maintenance,1 lane closed eastbound,Pending,2016-08-12T00:00:00,2019-08-10T04:00:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 02:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,60,1
Utility works,3 lanes closed eastbound,Pending,2016-12-21T22:30:00,2019-12-31T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 60 km/h. Traffic delay nil. ,WESTERN RING ROAD ,Nil,60,3
Sporting/social event, road closed,Pending,2016-04-01T07:00:00,2019-12-31T15:00:00,Event from 06:00 PM to 02:00 AM. Event speed limit 40 km/h. Traffic delay 6 to 10 min. ,SPENCER STREET ,6 to 10 min,40,0
Road construction, road closed,Pending,2017-12-31T22:30:00,2018-12-31T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,WARRIGAL ROAD ,0 to 5 min,0,1
