FID,rwe_id,rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,start_pref_rdname,end_pref_rdname,lrs_start_locality,lrs_end_locality,lrs_rmaclass,lrs_srns,lrs_lga,lrs_ses_region,lrs_melway,lrs_vcsd,geom,works_type,traffic_delay,speed_limit,lanes_affected,days_applicable,dt_modified,dt_created,rwe_point,timestamp,processed_time
rwe_point.182364,182364,Road maintenance,1 lane closed inbound,Pending,2018-07-31T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,CARDINIA-PRINCES OUT RAMP ON,PRINCES OUT-CARDINIA RAMP OF,PAKENHAM,OFFICER,FW,M1,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),215 F10,449 E11,line,daily works,0 to 5 min,40,1,1;2;3;4;5,2018-08-01T05:32:48,2018-08-01T05:25:10,POINT (145.436837993237 -38.0800751025663),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180875,180875,Road construction, expect delays,Active,2018-06-29T14:00:00,2019-02-10T13:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,WESTERN RING IN-PRINCES OUT RAMP ,PRINCES FREEWAY ,WESTERN RING IN-WEST GATE IN RAMP ,ALTONA NORTH,LAVERTON NORTH,FW,M1,"WYNDHAM, HOBSONS BAY",MELBOURNE METROPOLITAN (CENTRAL),54 C1,436 E10,line,continuous works,6 to 10 min,60,0,1;2;3;4;5;7;6,2018-08-15T01:34:40,2018-07-02T08:41:13,POINT (144.816238655839 -37.8294580343588),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177580,177580,Road construction,3 lanes closed inbound,Pending,2018-04-30T08:30:00,2018-09-14T23:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 09:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,WESTERN RING OUT-PASCOE VALE RAMP OF,CALDER IN-BULLA RAMP OF,GLADSTONE PARK,AIRPORT WEST,FW,M2,"MORELAND, MOONEE VALLEY, HUME",MELBOURNE METROPOLITAN (CENTRAL),16 A2,78 G5,line,daily works,0 to 5 min,40,3,1;2;3;4;5;7;6,2018-08-22T16:39:39,2018-04-30T01:15:06,POINT (144.891849151998 -37.7219270814229),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181978,181978,Road maintenance,1 lane closed both directions,Pending,2018-07-27T21:00:00,2018-08-31T05:30:00,Weekend only - Saturday and Sunday daily works from 07:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,WARRIGAL ROAD ,PRINCES FREEWAY ,CHADSTONE,BERWICK,FW,M1,"MONASH, CASEY, DANDENONG",MELBOURNE METROPOLITAN (CENTRAL),69 F3,79 C8,line,daily works,0 to 5 min,40,1,7;6,2018-07-28T02:53:32,2018-07-24T00:16:08,POINT (145.21252994571 -37.9506257993419),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177740,177740,Road maintenance,1 lane closed outbound,Pending,2018-08-07T21:00:00,2018-09-30T05:30:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,JETTY ROAD ,NEPEAN HIGHWAY ,ROSEBUD,DROMANA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),170 F4,466 K4,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-19T23:30:04,2018-06-15T03:29:23,POINT (144.946287331528 -38.3451475546444),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182387,182387,Road maintenance,1 lane closed outbound,Pending,2018-07-31T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,NEPEAN-PENINSULA LINK OUT,PENINSULA LINK OUT-NEPEAN,DROMANA,DROMANA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),150 K11,95 B6,line,daily works,0 to 5 min,40,1,1;2;3;4;5,2018-08-01T07:18:42,2018-08-01T07:15:52,POINT (145.013463225049 -38.3159433188502),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.175068,175068,Road maintenance, lanes closed southbound,Pending,2018-03-14T20:30:00,2018-12-20T06:30:00,Full week including weekends - Sunday to Saturday daily works from 07:30 AM to 05:30 PM. Roadworks speed limit nil. Traffic delay nil. ,PRINCES FREEWAY ,PRINCES OUT-PRINCES RAMP OF,SNEYDES ROAD ,POINT COOK,POINT COOK,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),207 A2,435 J13,line,daily works,Nil,0,0,1;2;3;4;5;7;6,2018-07-15T03:34:09,2018-03-13T11:09:22,POINT (144.709594442176 -37.8869314634859),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181353,181353,Road construction, road closed,Pending,2018-07-11T12:00:00,2018-09-29T19:00:00,Weekdays only - Monday to Friday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PLENTY ROAD ,CLEMENTS DRIVE ,PLENTY ROAD ,BUNDOORA,SOUTH MORANG,AO,C727,WHITTLESEA,MELBOURNE METROPOLITAN (CENTRAL),10 B8,79 C4,line,daily works,0 to 5 min,40,0,1;2;3;4;5,2018-07-11T05:43:48,2018-07-11T05:22:15,POINT (145.072020091764 -37.6643725660028),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.179601,179601,Road maintenance,1 lane closed outbound,Active,2018-06-11T20:30:00,2018-09-03T07:30:00,Weekdays only - Monday to Friday daily works from 06:30 AM to 05:30 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,CALDER OUT-VINEYARD RAMP OF,CENTRE ROAD ,DIGGERS REST,MACEDON,FW,M79,"MELTON, MACEDON RANGES, HUME","LODDON MALLEE (NORTH WEST), MELBOURNE METROPOLITAN (CENTRAL)",352 A2,78 D3,line,daily works,0 to 5 min,60,1,1;2;3;4;5,2018-08-01T20:40:02,2018-06-07T06:45:37,POINT (144.613140120856 -37.5045386969377),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181567,181567,Road maintenance,1 lane closed both directions,Pending,2018-07-16T21:00:00,2018-09-30T07:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,WINDERMERE-LEARMONTH ROAD ,WESTERN HIGHWAY ,WINDERMERE,TRAWALLA,FW,M8,"BALLARAT, PYRENEES",GRAMPIANS (MID WEST),,58 D9,line,continuous works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-16T03:01:13,2018-07-16T02:29:49,POINT (143.575885227287 -37.4637994239051),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.179799,179799,Road maintenance,1 lane closed both directions,Pending,2018-06-11T20:00:00,2018-09-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,WESTERN OUT-BALLAN-DAYLESFORD RAMP OF,CARTONS ROAD ,BALLAN,BALLAN,FW,M8,MOORABOOL,GRAMPIANS (MID WEST),,77 E3,line,daily works,0 to 5 min,60,1,1;2;3;4;5;7;6,2018-07-27T06:34:21,2018-06-13T06:14:42,POINT (144.16639343249 -37.5910535938586),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.148692,148692,Road construction,2 lanes closed outbound,Active,2017-04-30T10:00:00,2018-09-14T20:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,COVENTRY STREET ,BULLA ROAD ,TULLAMARINE,ESSENDON NORTH,FW,M2,"MORELAND, MOONEE VALLEY",MELBOURNE METROPOLITAN (CENTRAL),16 A4,78 G5,line,daily works,0 to 5 min,40,2,1;2;3;4;5;7;6,2018-08-23T11:56:34,2018-04-29T23:54:44,POINT (144.890667539808 -37.7282445402694),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182094,182094,Road maintenance,1 lane closed both directions,Pending,2018-08-09T23:00:00,2018-09-30T05:00:00,Weekdays only - Monday to Friday daily works from 09:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,KOO WEE RUP ROAD ,ISLAND ROAD ,MANKS ROAD ,KOO WEE RUP,KOO WEE RUP,AO,C422,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),,459 G4,line,daily works,6 to 10 min,40,1,1;2;3;4;5,2018-08-15T05:12:18,2018-07-25T23:31:50,POINT (145.480737548269 -38.1757481698256),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183170,183170,Road maintenance,2 lanes closed westbound,Pending,2018-08-20T11:00:00,2018-08-23T18:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,DUNCANS ROAD ,FARM ROAD ,WERRIBEE SOUTH,COCOROC,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),206 A12,78 C8,line,daily works,0 to 5 min,40,2,1;2;3;4;5,2018-08-22T16:47:33,2018-08-17T04:30:27,POINT (144.657432585057 -37.9201224431962),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183088,183088,Utility works, road closed,Pending,2018-08-18T23:00:00,2018-11-29T22:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 09:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HOLDEN STREET ,ST GEORGES ROAD ,BENNETT STREET ,FITZROY NORTH,FITZROY NORTH,MU,,YARRA,MELBOURNE METROPOLITAN (CENTRAL),30 C11,437 C7,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-15T07:36:43,2018-08-15T07:34:40,POINT (144.988760212816 -37.7802183988127),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183177,183177,Road construction,1 lane closed inbound,Active,2018-08-19T11:00:00,2018-11-18T19:00:00,other daily works from 09:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES IN-FORSYTH RAMP OF,FORSYTH-PRINCES IN RAMP ON,POINT COOK,WILLIAMS LANDING,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),203 F12,436 B12,line,daily works,0 to 5 min,40,1,1;2;3;4;7,2018-08-23T09:41:55,2018-08-17T04:51:18,POINT (144.736796474346 -37.8733301755189),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181722,181722,Road maintenance,1 lane closed both directions,Pending,2018-07-19T20:00:00,2018-11-14T07:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,AVENUE OF HONOUR  ,BULLA-DIGGERS REST-CALDER OUT RAMP ON,WOODEND NORTH,DIGGERS REST,FW,M79,"MELTON, MACEDON RANGES, HUME","LODDON MALLEE (NORTH WEST), MELBOURNE METROPOLITAN (CENTRAL)",,60 A7,line,daily works,0 to 5 min,40,1,1;2;3;4;5;6,2018-08-23T05:23:55,2018-07-18T04:02:05,POINT (144.600511563555 -37.4780974239627),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177837,177837,Utility works,2 lanes closed both directions,Pending,2018-05-04T14:00:00,2019-08-31T14:00:00,"Melbourne Water sewer upgrade works are underway along Beach Rd. Works will be undertaken at various locations with one lane closed in each direction. These works will continue 24/7 until the start of September. Delays of up to 10 mins are expected, please allow extra time. ",ESPLANADE  ,DENDY STREET ,SOUTH ROAD ,BRIGHTON,BRIGHTON,AO,,BAYSIDE,MELBOURNE METROPOLITAN (CENTRAL),67 C12,78 H8,line,continuous works,6 to 10 min,40,2,1;2;3;4;5;7;6,2018-08-17T07:20:17,2018-05-04T01:47:48,POINT (144.987668702746 -37.9236187164648),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180877,180877,Road construction, expect delays,Active,2018-06-29T14:00:00,2019-02-10T13:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,PRINCES IN-WESTERN RING OUT RAMP ,DOHERTYS ROAD ,FEDERATION TRAIL ,LAVERTON NORTH,LAVERTON NORTH,FW,M80,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),54 C1,436 E10,line,continuous works,6 to 10 min,60,0,1;2;3;4;5;7;6,2018-08-15T01:35:59,2018-07-02T08:51:29,POINT (144.814924724195 -37.8290537515739),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181153,181153,Road maintenance, expect delays,Pending,2018-08-02T21:30:00,2018-08-30T07:30:00,Full week including weekends - Sunday to Saturday daily works from 07:30 AM to 05:30 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,CRAIGIEBURN ROAD ,BELSAY PLACE ,BELSAY PLACE ,CRAIGIEBURN,CRAIGIEBURN,AO,C722,HUME,MELBOURNE METROPOLITAN (CENTRAL),387 A9,78 G3,line,daily works,6 to 10 min,40,0,1;2;3;4;5;7;6,2018-08-21T04:03:41,2018-07-09T00:56:27,POINT (144.932995219003 -37.5980432934556),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182223,182223,Road maintenance,1 lane closed outbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,BEACONSFIELD-NAR NAR GOON ROAD ,OFFICER SOUTH ROAD ,BERWICK,OFFICER,FW,M1,"CASEY, CARDINIA",MELBOURNE METROPOLITAN (CENTRAL),131 K4,449 B10,line,continuous works,0 to 5 min,40,1,1;2;3;4;5,2018-08-06T05:59:25,2018-07-27T14:05:16,POINT (145.393034476843 -38.0727340270875),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180835,180835,Road maintenance,1 lane closed outbound,Pending,2018-06-30T20:00:00,2018-09-30T08:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,MOLLISON STREET ,HOKINS ROAD ALT,KYNETON,RAVENSWOOD,FW,"M79, A300","MACEDON RANGES, BENDIGO, MOUNT ALEXANDER",LODDON MALLEE (NORTH WEST),,632 B1,line,daily works,0 to 5 min,40,1,1;2;3;4;5;6,2018-08-23T07:39:24,2018-07-02T04:19:27,POINT (144.324382528928 -37.0893703926616),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.171958,171958,Road maintenance,1 lane closed eastbound,Pending,2018-08-02T23:30:00,2018-08-30T03:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 01:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,FORSTER-MONASH OUT RAMP ON,BLACKBURN ROAD ,MOUNT WAVERLEY,GLEN WAVERLEY,FW,M1,MONASH,MELBOURNE METROPOLITAN (CENTRAL),70 F6,79 D8,line,daily works,0 to 5 min,60,1,1;2;3;4;5;7;6,2018-08-23T03:14:08,2018-01-10T02:22:45,POINT (145.139018123869 -37.8936102924455),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183168,183168,Road maintenance,2 lanes closed eastbound,Pending,2018-08-20T11:00:00,2018-08-23T18:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,FARM ROAD ,FARM ROAD ,WERRIBEE,WERRIBEE,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),244 G2,78 C8,line,daily works,0 to 5 min,40,2,1;2;3;4;5,2018-08-21T17:43:27,2018-08-17T04:24:26,POINT (144.657451750142 -37.9198622985882),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.175727,175727,Road construction, road closed,Pending,2018-03-12T20:00:00,2018-09-30T07:00:00,Monday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SOUTH GIPPSLAND HIGHWAY ,GWYTHER SIDING ROAD ,CAITHNESS ROAD ,LEONGATHA SOUTH,KOONWARRA,AH,A440,SOUTH GIPPSLAND,GIPPSLAND (EAST),,102 J2,line,daily works,0 to 5 min,40,0,1;2;3;4;5;6,2018-06-20T04:50:07,2018-03-22T21:27:40,POINT (145.947005956196 -38.5448512221296),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180822,180822,Road maintenance,1 lane closed westbound,Pending,2018-08-02T23:30:00,2018-08-31T04:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 02:30 PM. Roadworks speed limit 80 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES OUT-FORSYTH RAMP OF,FORSYTH ROAD ,POINT COOK,POINT COOK,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),203 H12,436 B12,line,daily works,0 to 5 min,80,1,1;2;3;4;5,2018-08-23T04:35:41,2018-07-02T05:12:48,POINT (144.739965496891 -37.8727512085051),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177219,177219,Road construction,1 lane closed eastbound,Pending,2018-08-24T11:00:00,2018-08-24T14:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,BESSIE CREEK ROAD ,SNELL ROAD ,NAR NAR GOON NORTH,NAR NAR GOON NORTH,FW,M1,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),319 E6,96 B3,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-21T03:01:57,2018-04-19T22:36:50,POINT (145.578789212455 -38.0698202162453),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177452,177452,Road maintenance, road closed,Pending,2018-07-24T10:30:00,2018-09-29T19:00:00,other daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES HIGHWAY ,FAIRWOOD RISE ,TIVENDALE ROAD ,OFFICER,OFFICER,AO,C101,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),214 E2,95 H2,line,daily works,0 to 5 min,40,3,1;2;3;4;5;6;7,2018-08-06T00:41:34,2018-04-26T03:38:24,POINT (145.4009960618 -38.0584601260114),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177788,177788,Road maintenance,1 lane closed northbound,Pending,2018-07-05T20:00:00,2018-10-30T07:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,CREIGHTONS SIDING ROAD ,WILBRAHAMS ROAD ,EUROA,BALMATTUM,FW,M31,STRATHBOGIE,HUME (NORTH EAST),,46 J6,line,daily works,0 to 5 min,60,1,1;2;3;4;5;6,2018-08-23T08:37:06,2018-05-03T05:16:33,POINT (145.585237636037 -36.7670948200753),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181531,181531,Utility works,all lanes closed eastbound,Pending,2018-07-18T11:00:00,2018-10-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HIGH STREET ,LURNEA ROAD ,COURANG ROAD ,GLEN IRIS,GLEN IRIS,AO,,BOROONDARA,MELBOURNE METROPOLITAN (CENTRAL),60 B9,79 C7,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-10T18:35:45,2018-07-13T07:28:35,POINT (145.069700097349 -37.8622344800939),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.177616,177616,Road maintenance,1 lane closed both directions,Pending,2018-04-30T20:30:00,2018-08-31T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,WESTERN RING ROAD ,WESTERN FREEWAY ,DERRIMUT,RAVENHALL,FW,M8,"BRIMBANK, MELTON",MELBOURNE METROPOLITAN (CENTRAL),40 A4,436 D8,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-22T07:25:40,2018-04-30T06:15:16,POINT (144.753349767381 -37.7958322922555),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.179059,179059,Road construction, expect delays,Pending,2018-06-24T20:30:00,2018-12-31T07:30:00,Monday to Saturday daily works from 06:30 AM to 06:30 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PRINCES HIGHWAY ,FERNBANK TRACK ,BENGWORDEN ROAD ,FERNBANK,BAIRNSDALE,AH,A1,"EAST GIPPSLAND, WELLINGTON",GIPPSLAND (EAST),,83 F8,line,daily works,6 to 10 min,40,0,1;2;3;4;5;6,2018-07-17T04:01:34,2018-05-29T05:28:26,POINT (147.429300925422 -37.8795058348896),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.172929,172929,Road construction,3 lanes closed outbound,Active,2018-08-15T08:30:00,2018-09-14T20:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay nil. ,CITYLINK  ,CITYLINK OUT-BELL RAMP OF,TULLAMARINE FREEWAY ,PASCOE VALE SOUTH,STRATHMORE,FW,M2,"MORELAND, MOONEE VALLEY",MELBOURNE METROPOLITAN (CENTRAL),16 K11,436 K5,line,daily works,Nil,40,3,1;2;3;4;5;7;6,2018-08-23T10:31:49,2018-01-30T05:55:51,POINT (144.918184809185 -37.7329368381141),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180793,180793,Road construction,3 lanes closed outbound,Pending,2018-06-30T09:00:00,2018-09-02T19:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,WESTERN RING IN-PRINCES OUT RAMP ,WEST GATE FREEWAY ,ALTONA NORTH,ALTONA NORTH,FW,M1,HOBSONS BAY,MELBOURNE METROPOLITAN (CENTRAL),54 C1,436 E10,line,daily works,0 to 5 min,40,3,1;2;3;4;5;7;6,2018-08-22T06:01:05,2018-06-29T09:25:51,POINT (144.812077904965 -37.8319698064484),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.172945,172945,Road construction, entry/exit ramp closed,Pending,2018-06-03T10:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,ENGLISH-TULLAMARINE OUT RAMP ON,TULLAMARINE OUT-ENGLISH RAMP OF,TULLAMARINE FREEWAY ,AIRPORT WEST,AIRPORT WEST,FW,M2,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),16 A8,78 G5,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-23T03:17:51,2018-01-30T06:55:04,POINT (144.891344444224 -37.7238630851746),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.171667,171667,Road maintenance,1 lane closed both directions,Pending,2017-12-31T20:00:00,2018-10-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,PAYNES ROAD ,HOPETOUN PARK ROAD ,ROCKBANK,HOPETOUN PARK,FW,M8,"MELTON, MOORABOOL","GRAMPIANS (MID WEST), MELBOURNE METROPOLITAN (CENTRAL)",344 D5,78 C5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-16T04:25:19,2018-01-02T04:30:04,POINT (144.570209211254 -37.6907411986083),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.173457,173457,Road construction, road closed,Pending,2018-01-31T20:00:00,2018-09-30T07:00:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TYERS STREET ,MCALISTER STREET ,DAWSON STREET ,STRATFORD,STRATFORD,AH,A1,WELLINGTON,GIPPSLAND (EAST),,83 C9,line,continuous works,0 to 5 min,40,1,1;2;3;4;5,2018-08-23T06:40:32,2018-02-08T23:54:27,POINT (147.079818865283 -37.9666556914765),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183247,183247,Road maintenance,1 lane closed westbound,Pending,2018-08-20T11:00:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,DUNCANS ROAD ,FARM ROAD ,WERRIBEE SOUTH,COCOROC,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),206 A12,78 C8,line,daily works,0 to 5 min,40,1,1;2;3;4;5,2018-08-20T06:44:17,2018-08-20T06:06:51,POINT (144.659720498567 -37.9193498106485),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.178570,178570,Road maintenance, road closed,Pending,2018-08-13T10:00:00,2018-12-29T18:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HIGH STREET ,CLYDE ROAD ,WHEELER STREET ,BERWICK,BERWICK,AO,C101,CASEY,MELBOURNE METROPOLITAN (CENTRAL),111 D7,95 G2,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-10T04:07:16,2018-05-18T05:40:04,POINT (145.345992296528 -38.031043954472),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.174987,174987,Road construction,1 lane closed southbound,Pending,2018-07-21T10:00:00,2018-08-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MELROSE-TULLAMARINE IN RAMP ON,WIRRAWAY ROAD ,MELROSE-TULLAMARINE IN RAMP ON,ESSENDON FIELDS,ESSENDON FIELDS,FW,M2,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),16 B5,78 G5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-06T06:57:15,2018-03-12T22:29:11,POINT (144.893435789564 -37.7153896199076),2018-08-23T15:13:28,2018-08-23T15:15:30.772
