FID,rwe_id,rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,start_pref_rdname,end_pref_rdname,lrs_start_locality,lrs_end_locality,lrs_rmaclass,lrs_srns,lrs_lga,lrs_ses_region,lrs_melway,lrs_vcsd,geom,works_type,traffic_delay,speed_limit,lanes_affected,days_applicable,dt_modified,dt_created,rwe_point,timestamp,processed_time
rwe_point.181596,181596,Utility works,1 lane closed outbound,Pending,2018-08-01T10:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,WARRIGAL ROAD ,PRINCES FREEWAY ,CHADSTONE,BERWICK,FW,M1,"STONNINGTON, MONASH, CASEY, DANDENONG",MELBOURNE METROPOLITAN (CENTRAL),69 F3,79 C8,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-09T17:59:48,2018-07-16T07:13:23,POINT (145.21201792463 -37.950263103754),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182276,182276,Road maintenance,1 lane closed northbound,Pending,2018-08-09T21:00:00,2018-09-14T21:00:00,Sewer upgrade work from 10th August to 15th September. 24/7 Traffic Management. One North bound lane closed. Traffic delay 0 to 5 minutes.,DENMARK STREET ,WELLINGTON STREET ,WELLINGTON STREET ,KEW,KEW,AO,,BOROONDARA,MELBOURNE METROPOLITAN (CENTRAL),45 B7,79 B6,line,continuous works,0 to 5 min,0,1,1;2;3;4;5;7;6,2018-08-21T08:27:31,2018-07-31T01:25:52,POINT (145.028722690222 -37.809084729721),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.176122,176122,Road construction,1 lane closed both directions,Active,2018-04-03T20:00:00,2018-08-28T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PAYNESVILLE ROAD ,FORGE CREEK ROAD ,WATERVIEW,EAGLE POINT,PAYNESVILLE,AO,C604,EAST GIPPSLAND,GIPPSLAND (EAST),,84 C8,line,daily works,6 to 10 min,40,1,1;2;3;4;5;7;6,2018-08-10T01:07:54,2018-04-03T02:12:36,POINT (147.677963629157 -37.9015722412684),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182850,182850,Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PLENTY ROAD ,BUSH BOULEVARD ,PLENTY ROAD ,MILL PARK,MILL PARK,AO,C727,WHITTLESEA,MELBOURNE METROPOLITAN (CENTRAL),10 D1,427 G12,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-14T01:31:51,2018-08-10T05:03:01,POINT (145.081301306334 -37.6553282211686),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183031,183031,Road construction,1 lane closed outbound,Pending,2018-08-19T20:00:00,2018-09-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,WESTERN OUT-MELTON RAMP OF,WESTERN OUT-HOPETOUN PARK RAMP OF,MELTON SOUTH,HOPETOUN PARK,FW,M8,"MELTON, MOORABOOL","GRAMPIANS (MID WEST), MELBOURNE METROPOLITAN (CENTRAL)",337 G12,78 B5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-15T00:46:08,2018-08-15T00:40:12,POINT (144.562410178259 -37.689835270908),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.173689,173689,Road construction, road closed,Active,2018-02-11T13:00:00,2019-02-28T12:59:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,SHELLEY ROAD ,MURRAY VALLEY HIGHWAY ,GUYS FORREST ROAD ,SHELLEY,GUYS FOREST,AO,C547,TOWONG,HUME (NORTH EAST),,37 B4,line,continuous works,Greater than 10 min,40,0,1;2;3;4;5;7;6,2018-04-23T05:36:14,2018-02-14T03:16:38,POINT (147.617897882995 -36.1223360155371),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.179257,179257,Road construction, lanes closed both directions,Pending,2018-06-01T10:00:00,2018-08-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES FREEWAY ,CLYDE ROAD ,BERWICK,BERWICK,FW,M1,CASEY,MELBOURNE METROPOLITAN (CENTRAL),110 J8,448 K8,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-07-31T07:53:56,2018-06-01T05:46:44,POINT (145.332106905572 -38.0396989310192),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.172833,172833,Road maintenance,1 lane closed westbound,Pending,2017-12-31T13:00:00,2018-08-25T14:00:00,Westbound (Melton-bound) on the Melton Hwy is reduced to 1 lane for Level Crossing Removal works between McCubbin Dr and Overton Lea Blvduntil the 26 August 2018.,MELTON HIGHWAY ,KINGS ROAD ,MELTON HIGHWAY SERVICE ROAD FWD,TAYLORS LAKES,SYDENHAM,AO,C754,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),3 G12,436 D2,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-06-28T07:13:25,2018-01-29T00:20:50,POINT (144.7735127162 -37.6957649819849),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182854,182854,Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CENTENARY DRIVE ,UNIVERSITY DRIVE ,MORANG DRIVE ALT,MILL PARK,MILL PARK,MU,,WHITTLESEA,MELBOURNE METROPOLITAN (CENTRAL),10 C1,427 F12,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-14T01:34:39,2018-08-10T05:22:18,POINT (145.068713640613 -37.6585185974025),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183248,183248,Road maintenance,1 lane closed eastbound,Pending,2018-08-20T11:00:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,FARM ROAD ,DUNCANS ROAD ,WERRIBEE,WERRIBEE,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),244 F2,78 C8,line,daily works,0 to 5 min,40,1,1;2;3;4;5,2018-08-20T06:35:53,2018-08-20T06:23:45,POINT (144.657233442844 -37.9199394240849),2018-08-23T15:13:28,2018-08-23T15:15:30.772
